Brand,Model,Year,Engine_CC,Power_BHP,Fuel_Type,Transmission,Owner_Type,KM_Driven,Price_USD
Ford,Focus,2019,1500,92.6,Diesel,Automatic,First,48660,16535.59
Mercedes,GLE,2021,2200,123.2,Diesel,Automatic,First,29800,69309.12
BMW,M3,2011,2100,112.6,Petrol,Manual,Third,108661,11342.69
Toyota,Camry,2008,900,60.0,Petrol,Automatic,First,114224,4060.91
Nissan,Murano,2012,1200,66.9,Hybrid,Automatic,First,93249,5364.86
Toyota,Camry,2005,1100,70.8,Petrol,Manual,Second,243156,2561.24
Nissan,Murano,2006,1400,94.3,Petrol,Automatic,Second,203417,2661.13
Chevrolet,Camaro,2018,1300,72.4,Petrol,Automatic,First,67076,11118.6
Nissan,Pathfinder,2019,900,60.0,Hybrid,Manual,First,75374,10889.78
Nissan,Rogue,2011,1300,62.8,Electric,Manual,Second,113342,4838.28
Hyundai,Sonata,2016,800,60.0,Petrol,Manual,First,95491,6276.81
Hyundai,Kona,2021,800,60.0,Electric,Manual,Third,32616,9599.2
Hyundai,Kona,2016,900,60.0,Petrol,Automatic,Second,96756,5818.55
Ford,Mustang,2013,1400,94.1,Petrol,Manual,First,160874,6242.16
Honda,Pilot,2013,1000,60.0,Diesel,Automatic,Third,92951,5052.04
Mercedes,GLE,2021,2700,151.1,Petrol,Manual,Second,31687,50846.12
Hyundai,Tucson,2005,1100,69.0,Diesel,Manual,First,231881,2403.0
Honda,Civic,2008,1500,92.1,Petrol,Manual,Second,190506,3012.79
Toyota,RAV4,2018,1200,74.7,Diesel,Automatic,First,88688,12481.56
Honda,CR-V,2008,1300,69.3,Petrol,Automatic,First,228638,3016.65
Kia,Optima,2005,1100,64.4,Petrol,Manual,Second,157074,2252.51
Nissan,Altima,2012,800,60.0,Diesel,Automatic,First,123781,4980.55
Nissan,Sentra,2011,1400,83.5,Diesel,Automatic,Second,130254,3737.41
Audi,Q5,2021,2000,110.6,Petrol,Automatic,First,22723,49973.27
Audi,Q7,2010,2500,145.8,Petrol,Automatic,First,170846,12073.71
Honda,Pilot,2009,1000,60.0,Petrol,Manual,First,186496,3235.99
Honda,Civic,2012,900,68.7,Electric,Automatic,First,102536,6378.91
Toyota,Camry,2018,1000,62.0,Electric,Manual,First,80391,11453.04
Hyundai,Sonata,2014,2000,110.8,Electric,Automatic,First,156901,5801.97
Chevrolet,Silverado,2022,1600,92.5,Diesel,Manual,Second,29626,18328.42
Honda,HR-V,2017,800,60.0,Petrol,Automatic,First,67584,9208.94
Honda,Pilot,2022,1500,76.2,Diesel,Automatic,Second,28507,15938.41
Chevrolet,Malibu,2007,1500,80.5,Petrol,Automatic,Second,175244,3607.5
Toyota,Camry,2021,1500,80.1,Diesel,Automatic,First,42330,17410.8
Kia,Soul,2019,800,60.0,Petrol,Manual,Second,78763,7386.62
Chevrolet,Camaro,2012,1300,83.0,Petrol,Automatic,Second,108275,5720.1
Toyota,Prius,2016,1200,60.0,Diesel,Automatic,Third,70223,7600.65
Hyundai,Kona,2021,800,60.0,Petrol,Automatic,First,40551,12404.64
Hyundai,Elantra,2022,1400,70.0,Petrol,Manual,First,20137,12906.25
Honda,Pilot,2012,900,60.0,Petrol,Automatic,First,216294,4032.74
Hyundai,Kona,2017,1200,80.8,Electric,Automatic,Third,73367,6845.08
Chevrolet,Malibu,2015,1200,68.8,Diesel,Automatic,Third,74382,6663.02
Honda,Pilot,2021,1600,94.0,Diesel,Automatic,Third,29430,12296.85
Honda,HR-V,2017,1000,60.0,Petrol,Automatic,Second,72424,8469.84
Ford,Mustang,2016,1600,101.7,Diesel,Automatic,First,76272,12467.99
Ford,Explorer,2006,900,65.8,Petrol,Automatic,Second,115980,4418.73
BMW,5 Series,2010,2200,120.2,Petrol,Manual,Second,109576,12457.57
BMW,M3,2022,2200,108.2,Diesel,Manual,Second,14501,51689.73
Mercedes,GLE,2018,2300,128.6,Petrol,Automatic,Second,60475,41480.33
Honda,Accord,2018,1400,85.5,Petrol,Automatic,First,54360,11800.97
Mercedes,A-Class,2022,2300,112.3,Petrol,Automatic,First,14712,81335.54
Chevrolet,Camaro,2022,1600,83.6,Petrol,Automatic,Second,27532,17290.32
Ford,F-150,2006,1200,60.0,Petrol,Automatic,First,279988,3766.52
